Date,Game,Media_Channel,Cost,Daily_Total_Revenue,Daily_Total_Installs
2014-01-01,8_ball_pool,Facebook,5811.97134057727,13506.747630591391,1832
2014-01-02,8_ball_pool,Facebook,5020.698090116136,14715.633379158047,1798
2014-01-03,8_ball_pool,Facebook,4843.558951221942,8508.651408265921,1733
2014-01-04,8_ball_pool,Facebook,4758.522845902034,12131.809123623987,1669
2014-01-05,8_ball_pool,Facebook,6032.254444675358,11261.77853278996,1875
2014-01-06,8_ball_pool,Facebook,4300.936544750982,11594.951078429774,1744
2014-01-07,8_ball_pool,Facebook,5251.266335387781,11803.891924347903,1768
2014-01-08,8_ball_pool,Facebook,5357.598988225542,8101.44789996233,1746
2014-01-09,8_ball_pool,Facebook,5176.02512931457,10892.418077744904,1711
2014-01-10,8_ball_pool,Facebook,4278.970756376003,11059.915523281783,1623
2014-01-11,8_ball_pool,Facebook,4863.595754907208,9574.79582887117,1795
2014-01-12,8_ball_pool,Facebook,4369.805864400064,8693.414131528552,1588
2014-01-13,8_ball_pool,Facebook,5149.246192298387,10039.11212607456,1769
2014-01-14,8_ball_pool,Facebook,5121.948290079288,12452.516157699098,1723
2014-01-15,8_ball_pool,Facebook,4429.802604196113,10613.71109098187,1630
2014-01-16,8_ball_pool,Facebook,3699.6221474249514,8350.538976346463,1661
2014-01-17,8_ball_pool,Facebook,4001.730494811155,14060.449723223866,1682
2014-01-18,8_ball_pool,Facebook,4848.733565531203,9901.013389619782,1654
2014-01-19,8_ball_pool,Facebook,4992.706094503527,12997.320314371584,1734
2014-01-20,8_ball_pool,Facebook,4927.918752871848,13390.710674685914,1725
2014-01-21,8_ball_pool,Facebook,4644.468418650536,12181.869969636522,1819
2014-01-22,8_ball_pool,Facebook,4711.835518466627,7954.279216076444,1725
2014-01-23,8_ball_pool,Facebook,4877.584485201253,7914.864633111245,1663
2014-01-24,8_ball_pool,Facebook,5155.086868742321,11747.439146831244,1731
2014-01-25,8_ball_pool,Facebook,4383.124660646351,16195.00246428279,1741
2014-01-26,8_ball_pool,Facebook,5124.884385894838,10539.69329363233,1775
2014-01-27,8_ball_pool,Facebook,5321.627343292261,8932.650722434166,1879
2014-01-28,8_ball_pool,Facebook,4913.729860066312,11406.204989843302,1646
2014-01-29,8_ball_pool,Facebook,4934.553608922487,11851.801591997537,1752
2014-01-30,8_ball_pool,Facebook,3922.6237383206376,10659.614622879346,1515
2014-01-31,8_ball_pool,Facebook,4872.300205465807,9736.869954144604,1723
2014-02-01,8_ball_pool,Facebook,5216.266495759117,13188.068204888637,1633
2014-02-02,8_ball_pool,Facebook,4370.406578075443,10216.196523377093,1503
2014-02-03,8_ball_pool,Facebook,4576.7718801836145,6682.190698797495,1486
2014-02-04,8_ball_pool,Facebook,4685.95008967426,12035.941148919339,1551
2014-02-05,8_ball_pool,Facebook,5557.507954535749,13981.191534516052,1602
2014-02-06,8_ball_pool,Facebook,4941.014164489204,9896.429419638225,1558
2014-02-07,8_ball_pool,Facebook,4230.332942352302,11823.362542368315,1495
2014-02-08,8_ball_pool,Facebook,5427.741729425261,9768.483693597584,1507
2014-02-09,8_ball_pool,Facebook,4768.189049268013,9818.8354655821,1476
2014-02-10,8_ball_pool,Facebook,5240.121294270027,10868.906820894801,1544
2014-02-11,8_ball_pool,Facebook,4646.241895316645,12439.822582206507,1564
2014-02-12,8_ball_pool,Facebook,4919.674425917246,9876.519123929618,1557
2014-02-13,8_ball_pool,Facebook,5068.125905995103,6853.907315985983,1540
2014-02-14,8_ball_pool,Facebook,4682.835421306172,10458.283008887061,1545
2014-02-15,8_ball_pool,Facebook,5313.27856916429,10897.031407374812,1595
2014-02-16,8_ball_pool,Facebook,4889.842484615915,9170.701052980236,1561
2014-02-17,8_ball_pool,Facebook,4762.106233777986,10402.126791087188,1604
2014-02-18,8_ball_pool,Facebook,5796.147081621138,8639.021062949816,1594
2014-02-19,8_ball_pool,Facebook,5003.338793879953,9573.031102502964,1507
2014-02-20,8_ball_pool,Facebook,6024.459789605072,9883.199024958565,1618
